"","country","field","level","sex","opiEU"
"512","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Quite positive"
"513","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite negative"
"514","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"515","Turkey","Other","A-level or equivalent","Female","Quite negative"
"516","France Antilles","Arts and Humanities","A-level or equivalent","Female","Neutral"
"517","Tunisia","Business, administration and law","Masters degree or equivalent","Female","Quite positive"
"518","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Quite negative"
"519","France Metropolitan","Business, administration and law","A-level or equivalent","Prefer not to answer","Very positive"
"520","Turkey","Natural sciences, mathematics and statistics","Prefer not to answer","Male","Quite positive"
"521","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"522","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Very negative"
"523","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"524","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"525","France Antilles","Prefer not to answer","Masters degree or equivalent","Male","Neutral"
"526","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite negative"
"527","Germany","Arts and Humanities","Bachelors degree or equivalent","Male","Very positive"
"528","Turkey","Arts and Humanities","Bachelors degree or equivalent","Female",NA
"529","Germany","Arts and Humanities","A-level or equivalent","Female","Very positive"
"530","Tunisia","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Quite negative"
"531","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"532","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"533","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"534","Turkey","Prefer not to answer","A-level or equivalent","Male","Quite positive"
"535","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"536","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite negative"
"537","France Antilles","Health","A-level or equivalent","Female","Neutral"
"538","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"539","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"540","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"541","France Metropolitan","Health","Masters degree or equivalent","Male","Very positive"
"542","Ireland","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"543","France Metropolitan","Other","Bachelors degree or equivalent","Female",NA
"544","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very negative"
"545","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"546","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"547","France Antilles","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Quite positive"
"548","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Very positive"
"549","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"550","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"551","Turkey","Other","Bachelors degree or equivalent","Male","Neutral"
"552","Turkey","Business, administration and law","A-level or equivalent","Male","Quite negative"
"553","France Antilles","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"554","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"555","France Antilles","Health","A-level or equivalent","Female","Neutral"
"556","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"557","Germany","Other","Bachelors degree or equivalent","Female","Quite positive"
"558","Tunisia","Health","A-level or equivalent","Female","Quite positive"
"559","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"560","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"561","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"562","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"563","Ireland","Engineering, manufacturing and construction","A-level or equivalent","Male","Very positive"
"564","France Metropolitan","Other","Masters degree or equivalent","Male","Neutral"
"565","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Very negative"
"566","Tunisia","Other","Masters degree or equivalent","Female","Quite positive"
"567","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"568","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male",NA
"569","Germany","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"570","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male",NA
"571","Germany","Other","A-level or equivalent","Female","Very positive"
"572","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"573","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"574","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"575","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"576","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"577","France Metropolitan","Other","Masters degree or equivalent","Female","Quite positive"
"578","Tunisia","Business, administration and law","Masters degree or equivalent","Female","Prefer not to answer"
"579","Turkey","Business, administration and law","A-level or equivalent","Female","Neutral"
"580","France Antilles","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Quite negative"
"581","Germany","Business, administration and law","A-level or equivalent","Male","Quite negative"
"582","Germany","Business, administration and law","Bachelors degree or equivalent","Female","Very positive"
"583","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"584","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"585","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"586","Ireland","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"587","Germany","Arts and Humanities","A-level or equivalent","Other","Quite positive"
"588","Ireland","Arts and Humanities","A-level or equivalent","Female","Very positive"
"589","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"590","Ireland","Engineering, manufacturing and construction","A-level or equivalent","Male","Quite positive"
"591","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite negative"
"592","Turkey","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"593","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"594","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Quite positive"
"595","Ireland","Social sciences, journalism and information","A-level or equivalent","Female","Neutral"
"596","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"597","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Quite negative"
"598","Germany","Business, administration and law","A-level or equivalent","Female","Quite negative"
"599","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"600","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"601","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"602","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"603","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"604","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"605","France Metropolitan","Arts and Humanities","PhD or equivalent","Female","Quite negative"
"606","France Antilles","Social sciences, journalism and information","Masters degree or equivalent","Male",NA
"607","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"608","France Metropolitan","Other","Bachelors degree or equivalent","Male","Very negative"
"609","France Metropolitan","Arts and Humanities","A-level or equivalent","Male","Quite negative"
"610","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"611","Tunisia","Health","Masters degree or equivalent","Male","Quite positive"
"612","Germany","Business, administration and law","A-level or equivalent","Male","Very negative"
"613","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Quite positive"
"614","Germany","Other","A-level or equivalent","Male","Quite positive"
"615","Tunisia","Other","Masters degree or equivalent","Male","Neutral"
"616","Germany","Other","A-level or equivalent","Female","Quite positive"
"617","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Neutral"
"618","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"619","Germany","Prefer not to answer","PhD or equivalent","Prefer not to answer","Very positive"
"620","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"621","Tunisia","Arts and Humanities","Masters degree or equivalent","Male","Neutral"
"622","Germany","Other","Bachelors degree or equivalent","Female","Quite positive"
"623","Tunisia","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"624","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"625","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"626","Germany","Arts and Humanities","A-level or equivalent","Female","Very positive"
"627","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"628","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Neutral"
"629","Turkey","Other","A-level or equivalent","Female","Neutral"
"630","Turkey","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"631","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"632","Germany","Business, administration and law","A-level or equivalent","Male","Very positive"
"633","Germany","Business, administration and law","A-level or equivalent","Female","Neutral"
"634","Tunisia","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Neutral"
"635","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"636","Germany","Other","Bachelors degree or equivalent","Female","Quite positive"
"637","France Metropolitan","Other","Bachelors degree or equivalent","Male","Neutral"
"638","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"639","Germany","Arts and Humanities","A-level or equivalent","Other","Quite positive"
"640","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"641","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"642","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite negative"
"643","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Neutral"
"644","France Metropolitan","Other","Masters degree or equivalent","Female","Neutral"
"645","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"646","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"647","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male",NA
"648","France Antilles","Business, administration and law","A-level or equivalent","Male","Neutral"
"649","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female",NA
"650","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"651","France Metropolitan","Other","Bachelors degree or equivalent","Other","Neutral"
"652","Turkey","Arts and Humanities","Bachelors degree or equivalent","Other",NA
"653","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"654","Tunisia","Business, administration and law","Masters degree or equivalent","Female","Quite positive"
"655","Turkey","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"656","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Neutral"
"657","Tunisia","Engineering, manufacturing and construction","Bachelors degree or equivalent","Prefer not to answer","Prefer not to answer"
"658","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Very negative"
"659","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Quite positive"
"660","Germany","Arts and Humanities","A-level or equivalent","Female","Neutral"
"661","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Quite negative"
"662","Turkey","Other","Bachelors degree or equivalent","Female","Quite positive"
"663","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Prefer not to answer"
"664","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female",NA
"665","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"666","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite negative"
"667","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"668","Ireland","Social sciences, journalism and information","A-level or equivalent","Male","Quite positive"
"669","Tunisia","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Very positive"
"670","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"671","Turkey","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Quite positive"
"672","France Metropolitan","Arts and Humanities","A-level or equivalent","Other","Neutral"
"673","France Metropolitan","Health","Masters degree or equivalent","Female","Neutral"
"674","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"675","France Metropolitan","Other","Bachelors degree or equivalent","Female","Very positive"
"676","Turkey","Business, administration and law","A-level or equivalent","Female",NA
"677","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"678","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"679","Ireland","Other","Bachelors degree or equivalent","Female","Neutral"
"680","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"681","Germany","Other","A-level or equivalent","Female","Quite negative"
"682","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"683","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Male","Neutral"
"684","Germany","Other","A-level or equivalent","Male","Very positive"
"685","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"686","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"687","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Quite positive"
"688","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Very positive"
"689","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"690","Turkey","Business, administration and law","Prefer not to answer","Female","Neutral"
"691","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite negative"
"692","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"693","Germany","Other","A-level or equivalent","Male","Very positive"
"694","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"695","Tunisia","Other","Bachelors degree or equivalent","Female","Prefer not to answer"
"696","France Antilles","Other","Bachelors degree or equivalent","Female","Neutral"
"697","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"698","Germany","Other","A-level or equivalent","Female","Quite positive"
"699","France Metropolitan","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very negative"
"700","Turkey","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"701","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"702","Germany","Arts and Humanities","A-level or equivalent","Female","Neutral"
"703","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"704","Ireland","Social sciences, journalism and information","A-level or equivalent","Male","Quite positive"
"705","Germany","Business, administration and law","A-level or equivalent","Male","Very positive"
"706","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"707","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"708","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Quite positive"
"709","Germany","Other","A-level or equivalent","Female","Quite positive"
"710","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"711","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Quite negative"
"712","France Metropolitan","Health","Bachelors degree or equivalent","Female","Very positive"
"713","Germany","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer"
"714","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"715","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"716","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Very positive"
"717","Ireland","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"718","France Antilles","Other","Bachelors degree or equivalent","Female","Quite negative"
"719","France Antilles","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"720","Ireland","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"721","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite positive"
"722","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"723","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"724","Germany","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"725","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"726","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"727","Germany","Other","A-level or equivalent","Female","Quite positive"
"728","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"729","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Quite negative"
"730","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"731","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"732","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"733","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"734","Turkey","Prefer not to answer","Bachelors degree or equivalent","Prefer not to answer","Quite positive"
"735","Tunisia","Other","Bachelors degree or equivalent","Female","Quite positive"
"736","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"737","Germany","Other","A-level or equivalent","Male","Quite positive"
"738","France Metropolitan","Health","Bachelors degree or equivalent","Female","Neutral"
"739","Germany","Other","A-level or equivalent","Female","Quite positive"
"740","Turkey","Business, administration and law","A-level or equivalent","Female",NA
"741","Germany","Other","A-level or equivalent","Female","Quite positive"
"742","France Antilles","Arts and Humanities","Masters degree or equivalent","Male","Very positive"
"743","Turkey","Other","A-level or equivalent","Male","Neutral"
"744","Tunisia","Other","PhD or equivalent","Male","Quite positive"
"745","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"746","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"747","Ireland","Other","Bachelors degree or equivalent","Male","Quite positive"
"748","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"749","Germany","Other","A-level or equivalent","Male","Quite negative"
"750","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite negative"
"751","France Antilles","Health","A-level or equivalent","Female","Neutral"
"752","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite negative"
"753","Ireland","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"754","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"755","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite positive"
"756","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"757","Germany","Other","A-level or equivalent","Male","Very positive"
"758","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"759","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"760","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"761","France Antilles","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Neutral"
"762","Turkey","Business, administration and law","Bachelors degree or equivalent","Female",NA
"763","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"764","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"765","Ireland","Other","A-level or equivalent","Female","Quite positive"
"766","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female",NA
"767","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite negative"
"768","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"769","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"770","Ireland","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"771","Germany","Arts and Humanities","A-level or equivalent","Male","Very negative"
"772","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"773","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"774","Tunisia","Business, administration and law","Masters degree or equivalent","Male","Quite positive"
"775","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Neutral"
"776","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"777","Germany","Prefer not to answer","A-level or equivalent","Male",NA
"778","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"779","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"780","Turkey","Business, administration and law","A-level or equivalent","Female",NA
"781","Turkey","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"782","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"783","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"784","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Quite positive"
"785","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"786","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"787","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"788","Germany","Engineering, manufacturing and construction","A-level or equivalent","Female","Very positive"
"789","France Metropolitan","Other","Bachelors degree or equivalent","Male","Neutral"
"790","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Male",NA
"791","Germany","Business, administration and law","PhD or equivalent","Male","Very positive"
"792","Germany","Other","Bachelors degree or equivalent","Female","Neutral"
"793","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"794","France Antilles","Business, administration and law","Masters degree or equivalent","Female","Neutral"
"795","France Metropolitan","Health","Bachelors degree or equivalent","Male","Neutral"
"796","Germany","Health","Bachelors degree or equivalent","Female",NA
"797","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"798","Turkey","Other","Bachelors degree or equivalent","Male","Neutral"
"799","France Metropolitan","Social sciences, journalism and information","A-level or equivalent","Male","Quite positive"
"800","Germany","Business, administration and law","Bachelors degree or equivalent","Other","Very negative"
"801","Tunisia","Other","Masters degree or equivalent","Female","Quite positive"
"802","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Other","Neutral"
"803","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Very negative"
"804","Turkey","Arts and Humanities","Bachelors degree or equivalent","Female",NA
"805","Turkey","Business, administration and law","A-level or equivalent","Male","Neutral"
"806","Germany","Other","A-level or equivalent","Female","Quite positive"
"807","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"808","Turkey","Business, administration and law","A-level or equivalent","Male","Prefer not to answer"
"809","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Quite negative"
"810","France Antilles","Health","A-level or equivalent","Female","Neutral"
"811","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"812","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"813","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"814","Tunisia","Prefer not to answer","Bachelors degree or equivalent","Female","Very positive"
"815","France Metropolitan","Other","A-level or equivalent","Female","Neutral"
"816","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Very positive"
"817","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Very negative"
"818","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Very positive"
"819","France Metropolitan","Health","Masters degree or equivalent","Female","Neutral"
"820","Tunisia","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Quite positive"
"821","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"822","France Antilles","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"823","Turkey","Arts and Humanities","A-level or equivalent","Male",NA
"824","Turkey","Business, administration and law","A-level or equivalent","Female","Neutral"
"825","Turkey","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"826","Turkey","Business, administration and law","A-level or equivalent","Female",NA
"827","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Quite positive"
"828","France Metropolitan","Health","Bachelors degree or equivalent","Male","Neutral"
"829","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"830","Tunisia","Natural sciences, mathematics and statistics","PhD or equivalent","Male","Quite negative"
"831","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"832","France Antilles","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"833","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite positive"
"834","France Metropolitan","Other","Masters degree or equivalent","Female","Quite positive"
"835","France Antilles","Arts and Humanities","Masters degree or equivalent","Female",NA
"836","Turkey","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"837","Turkey","Other","A-level or equivalent","Male","Quite positive"
"838","Germany","Business, administration and law","Masters degree or equivalent","Male","Very positive"
"839","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"840","Germany","Other","Bachelors degree or equivalent","Female","Quite positive"
"841","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female",NA
"842","Germany","Other","Masters degree or equivalent","Male","Quite positive"
"843","France Antilles","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"844","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"845","Ireland","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"846","France Metropolitan","Health","Bachelors degree or equivalent","Female","Neutral"
"847","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Very positive"
"848","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"849","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"850","Turkey","Business, administration and law","A-level or equivalent","Female","Quite negative"
"851","France Metropolitan","Health","Bachelors degree or equivalent","Female","Neutral"
"852","France Metropolitan","Other","Bachelors degree or equivalent","Male","Neutral"
"853","Turkey","Social sciences, journalism and information","A-level or equivalent","Male","Quite positive"
"854","Germany","Other","A-level or equivalent","Female","Quite positive"
"855","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Very positive"
"856","Germany","Business, administration and law","A-level or equivalent","Male","Quite negative"
"857","Turkey","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"858","Germany","Other","A-level or equivalent","Male","Quite positive"
"859","Ireland","Engineering, manufacturing and construction","A-level or equivalent","Female","Very positive"
"860","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"861","Turkey","Other","A-level or equivalent","Male","Very positive"
"862","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"863","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"864","Turkey","Health","A-level or equivalent","Female",NA
"865","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"866","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Prefer not to answer","Quite positive"
"867","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"868","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"869","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female",NA
"870","Germany","Business, administration and law","Prefer not to answer","Male","Quite positive"
"871","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"872","Germany","Social sciences, journalism and information","Prefer not to answer","Male","Quite positive"
"873","Turkey","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"874","Ireland","Engineering, manufacturing and construction","A-level or equivalent","Female","Quite positive"
